Zone,Desired,Actual,Difference
"Arthritis",36.961451247165535, 30.259222333000995, 6.702228914164538
"Arthritis,Carditis",24.03628117913832, 23.579262213359918, 0.4570189657784024
"Arthritis,Carditis,Severe_Carditis",7.709750566893423, 7.07876370887338, 0.630986858020044
"Arthralgia,Carditis",7.2562358276643995, 0, 7.2562358276643995
"Carditis",4.988662131519274, 10.418743768693918, 5.430081637174643
"Carditis,Severe_Carditis",4.988662131519274, 6.231306081754736, 1.2426439502354614
"Arthralgia,Carditis,Severe_Carditis",3.4013605442176873, 0, 3.4013605442176873
"Arthritis,Carditis,Chorea",3.4013605442176873, 0, 3.4013605442176873
"Chorea",2.494331065759637, 9.67098703888335, 7.176655973123712
"Carditis,Chorea",1.8140589569160999, 0, 1.8140589569160999
"Arthritis,Chorea",1.1337868480725624, 0.9970089730807578, 0.1367778749918046
"Arthritis,Carditis,Chorea,Severe_Carditis",0.6802721088435375, 0, 0.6802721088435375
"Arthralgia,Carditis,Chorea",0.45351473922902497, 0, 0.45351473922902497
"Arthralgia,Chorea",0.45351473922902497, 0, 0.45351473922902497
"Arthralgia,Carditis,Chorea,Severe_Carditis",0.22675736961451248, 0, 0.22675736961451248
"Arthralgia,Arthritis,Carditis",0, 8.275174476570289, 8.275174476570289
"Arthralgia,Arthritis,Carditis,Severe_Carditis",0, 3.489531405782652, 3.489531405782652
Total:,,,51.22817488577353
